"variableName","Labels","labelValues","fileFormat"
"trwgt53","Teacher BRR-Fay Replicate Weight 53","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt54","Teacher BRR-Fay Replicate Weight 54","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt55","Teacher BRR-Fay Replicate Weight 55","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt56","Teacher BRR-Fay Replicate Weight 56","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt57","Teacher BRR-Fay Replicate Weight 57","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt58","Teacher BRR-Fay Replicate Weight 58","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt59","Teacher BRR-Fay Replicate Weight 59","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt60","Teacher BRR-Fay Replicate Weight 60","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt61","Teacher BRR-Fay Replicate Weight 61","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt62","Teacher BRR-Fay Replicate Weight 62","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt63","Teacher BRR-Fay Replicate Weight 63","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt64","Teacher BRR-Fay Replicate Weight 64","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt65","Teacher BRR-Fay Replicate Weight 65","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt66","Teacher BRR-Fay Replicate Weight 66","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt67","Teacher BRR-Fay Replicate Weight 67","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt68","Teacher BRR-Fay Replicate Weight 68","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt69","Teacher BRR-Fay Replicate Weight 69","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt70","Teacher BRR-Fay Replicate Weight 70","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt71","Teacher BRR-Fay Replicate Weight 71","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt72","Teacher BRR-Fay Replicate Weight 72","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt73","Teacher BRR-Fay Replicate Weight 73","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt74","Teacher BRR-Fay Replicate Weight 74","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt75","Teacher BRR-Fay Replicate Weight 75","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt76","Teacher BRR-Fay Replicate Weight 76","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt77","Teacher BRR-Fay Replicate Weight 77","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt78","Teacher BRR-Fay Replicate Weight 78","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt79","Teacher BRR-Fay Replicate Weight 79","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt80","Teacher BRR-Fay Replicate Weight 80","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt81","Teacher BRR-Fay Replicate Weight 81","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt82","Teacher BRR-Fay Replicate Weight 82","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt83","Teacher BRR-Fay Replicate Weight 83","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt84","Teacher BRR-Fay Replicate Weight 84","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt85","Teacher BRR-Fay Replicate Weight 85","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt86","Teacher BRR-Fay Replicate Weight 86","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt87","Teacher BRR-Fay Replicate Weight 87","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt88","Teacher BRR-Fay Replicate Weight 88","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt89","Teacher BRR-Fay Replicate Weight 89","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt90","Teacher BRR-Fay Replicate Weight 90","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt91","Teacher BRR-Fay Replicate Weight 91","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt92","Teacher BRR-Fay Replicate Weight 92","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt93","Teacher BRR-Fay Replicate Weight 93","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt94","Teacher BRR-Fay Replicate Weight 94","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt95","Teacher BRR-Fay Replicate Weight 95","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt96","Teacher BRR-Fay Replicate Weight 96","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt97","Teacher BRR-Fay Replicate Weight 97","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt98","Teacher BRR-Fay Replicate Weight 98","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt99","Teacher BRR-Fay Replicate Weight 99","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"trwgt100","Teacher BRR-Fay Replicate Weight 100","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tchagegr","Teacher Age Groups","UNDER 25; 25-29; 30-39; 40-49; 50-59; 60 AND ABOVE; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3stbeh","Student behavior stress / Configural (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3clain","Clarity of instruction / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3clasm","Classroom management / Metric (1) - Configural (2, 3)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3cogac","Cognitive activation / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3coles","Professional collaboration in lessons among teachers / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3effpd","Effective professional development / Scalar (1, 3) - Configural (2)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3exch","Exchange and cooperation among teachers / Configural (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3pdbar","Professional development barriers / Configural (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3disc","Teachers perceived disciplinary climate / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3perut","Personal utility value / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3pdiv","Need prof. devel. for teaching for diversity / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3pdped","Need prof. devel. in subject matter and pedagogy / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3valp","Perceptions of value and policy influence / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3satat","Satisfaction with target class autonomy / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3jsenv","Job satisfaction with work environment, teacher / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3jspro","Job satisfaction with profession, teacher / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3secls","Self-efficacy in classroom management / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3seins","Self-efficacy in instruction / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3seeng","Self-efficacy in student engagement / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3sefe","Self-related efficacy in multicultural classrooms / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3socut","Social utility value / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3stake","Participation among stakeholders, teachers / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3team","Team innovativeness / Scalar (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3stud","Teacher-student relations / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3wels","Workplace well-being and stress / Configural (1, 3) - Metric (2)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3wload","Workload stress / Metric (1, 2) - Configural (3)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3tpra","Teaching practices, overall / Metric (1) - Configural (2, 3)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3coop","Teacher cooperation, overall / Configural (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3jobsa","Job satisfaction, overall, teacher / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3self","Teacher self-efficacy, overall / Metric (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"t3divp","Diversity practices, teacher / Configural (All)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"ieadate","Date","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"version","Version","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idschool","Scrambled School ID _SCR","NOT ADMINISTERED; OMITTED OR INVALID","School"
"pisaschoolid","Scrambled PISA School ID (only available for schools that participated in PISA)","NOT ADMINISTERED; OMITTED OR INVALID","School"
"idlang","Language ID","ENGLISH (EXAMPLE COUNTRY); ARABIC (ISRAEL); ARABIC (SAUDI ARABIA); ARABIC (U.A.E. ABU DHABI); ARABIC (U.A.E. DUBAI); ARABIC (U.A.E.); ARMENIAN (GEORGIA); AZERBAIJANI (GEORGIA); BASQUE (SPAIN); BULGARIAN (BULGARIA); CATALAN (SPAIN); CHINESE (SIMPLIFIED) LEGACY; CHINESE (SINGAPORE); CHINESE (TAIWAN); CROATIAN (CROATIA); CZECH (CZECH REPUBLIC); DANISH (DENMARK); DUTCH (BELGIUM); DUTCH (NETHERLANDS); ENGLISH (AUSTRALIA); ENGLISH (CANADA - ALBERTA); ENGLISH (CYPRUS); ENGLISH (FRANCE); ENGLISH (MALTA); ENGLISH (NEW ZEALAND); ENGLISH (SAUDI ARABIA); ENGLISH (SINGAPORE); ENGLISH (TAIWAN); ENGLISH (U.A.E. ABU DHABI); ENGLISH (U.A.E. DUBAI); ENGLISH (U.A.E.); ENGLISH (UNITED KINGDOM); ENGLISH (UNITED STATES); ESTONIAN (ESTONIA); FINNISH (FINLAND); FRENCH (BELGIUM); FRENCH (CANADA - ALBERTA); FRENCH (FRANCE); FRENCH (U.A.E. DUBAI); GALICIAN (GALICIAN); GEORGIAN (GEORGIA); GERMAN (AUSTRIA); GERMAN (EXAMPLE COUNTRY); GREEK (CYPRUS); HEBREW (ISRAEL); HUNGARIAN (HUNGARY); HUNGARIAN (ROMANIA); HUNGARIAN (SLOVAK REPUBLIC); ICELANDIC (ICELAND); ITALIAN (ITALY); JAPANESE (JAPAN); KAZAKH (KAZAKHSTAN); KOREAN (KOREA); LATVIAN (LATVIA); LITHUANIAN (LITHUANIA); MALTESE (MALTA); MAORI (NEW ZEALAND); NORWEGIAN (BOKMÅL) (NORWAY); NORWEGIAN (NYNORSK) (NORWAY); POLISH (LITHUANIA); PORTUGUESE (BRAZIL); PORTUGUESE (PORTUGAL); ROMANIAN (ROMANIA); RUSSIAN (ESTONIA); RUSSIAN (GEORGIA); RUSSIAN (KAZAKHSTAN); RUSSIAN (LATVIA); RUSSIAN (LITHUANIA); RUSSIAN (RUSSIA); SAMI (INARI) (FINLAND); SAMI (LULE) (NORWAY); SAMI (LULE) (SWEDEN); SAMI (NORTHERN) (FINLAND); SAMI (NORTHERN) (NORWAY); SAMI (NORTHERN) (SWEDEN); SAMI (SKOLT) (FINLAND); SAMI (SOUTHERN) (NORWAY); SAMI (SOUTHERN) (SWEDEN); SERBIAN (CYRILLIC, CROATIA); SLOVAK (SLOVAK REPUBLIC); SLOVENIAN (AUSTRIA); SLOVENIAN (SLOVENIA); SPANISH (BUENOS AIRES); SPANISH (CHILE); SPANISH (COLOMBIA); SPANISH (MEXICO); SPANISH (SPAIN); SWEDISH (FINLAND); SWEDISH (SWEDEN); TATAR (RUSSIA); TURKISH (TURKEY); VALENCIAN (SPAIN); VIETNAMESE (VIETNAM); ENGLISH (SOUTH AFRICA); POLISH (POLAND); NOT ADMINISTERED; OMITTED OR INVALID","School"
"idcntry","Country ID - Numeric Code","AUSTRALIA; AUSTRIA; BELGIUM; BRAZIL; BULGARIA; CHILE; CHINESE TAIPEI; COLOMBIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ESTONIA; FINLAND; FRANCE; GEORGIA; HUNGARY; ICELAND; ISRAEL; ITALY; JAPAN; KAZAKHSTAN; KOREA; LATVIA; LITHUANIA; MALTA; MEXICO; NETHERLANDS; NEW ZEALAND; NORWAY; PORTUGAL; RUSSIAN FEDERATION; SAUDI ARABIA; SINGAPORE; SLOVAK REPUBLIC; VIET NAM; SLOVENIA; SOUTH AFRICA; SPAIN; SWEDEN; UNITED ARAB EMIRATES; TURKEY; UNITED STATES; ENGLAND (UNITED KINGDOM); FLEMISH COMMUNITY (BELGIUM); ALBERTA (CANADA); ROMANIA; CIUDAD AUTÓNOMA DE BUENOS AIRES (ARGENTINA); SHANGHAI (CHINA); NOT ADMINISTERED; OMITTED OR INVALID","School"
"cntry","Country ID - Alpha Code","AUSTRALIA; AUSTRIA; BELGIUM; BRAZIL; BULGARIA; CHILE; CHINESE TAIPEI; COLOMBIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ESTONIA; FINLAND; FRANCE; GEORGIA; HUNGARY; ICELAND; ISRAEL; ITALY; JAPAN; KAZAKHSTAN; KOREA; LATVIA; LITHUANIA; MALTA; MEXICO; NETHERLANDS; NEW ZEALAND; NORWAY; PORTUGAL; RUSSIAN FEDERATION; SAUDI ARABIA; SINGAPORE; SLOVAK REPUBLIC; VIET NAM; SLOVENIA; SOUTH AFRICA; SPAIN; SWEDEN; UNITED ARAB EMIRATES; TURKEY; UNITED STATES; ENGLAND (UNITED KINGDOM); FLEMISH COMMUNITY (BELGIUM); ALBERTA (CANADA); ROMANIA; CIUDAD AUTÓNOMA DE BUENOS AIRES (ARGENTINA); SHANGHAI (CHINA); NOT ADMINISTERED; OMITTED OR INVALID","School"
"idcntryr","Country ID - Order for International Report","ALBERTA (CANADA); AUSTRALIA; AUSTRIA; BELGIUM; FLEMISH COMMUNITY (BELGIUM); BRAZIL; BULGARIA; CIUDAD AUTÓNOMA DE BUENOS AIRES (ARGENTINA); CHILE; COLOMBIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ENGLAND (UNITED KINGDOM); ESTONIA; FINLAND; FRANCE; GEORGIA; HUNGARY; ICELAND; ISRAEL; ITALY; JAPAN; KAZAKHSTAN; KOREA; LATVIA; LITHUANIA; MALTA; MEXICO; NETHERLANDS; NEW ZEALAND; NORWAY; PORTUGAL; ROMANIA; RUSSIAN FEDERATION; SAUDI ARABIA; SHANGHAI (CHINA); SINGAPORE; SLOVAK REPUBLIC; SLOVENIA; SOUTH AFRICA; SPAIN; SWEDEN; CHINESE TAIPEI; TURKEY; UNITED ARAB EMIRATES; UNITED STATES; VIET NAM; NOT ADMINISTERED; OMITTED OR INVALID","School"
"idcntpop","Country Alpha Code and ISCED Level","","School"
"tc3g01","Gender - P","FEMALE; MALE; NOT REACHED; NOT ADMINISTERED; MISSING","School"
"tc3g03","Highest level of formal education completed - P","BELOW <ISCED 2011 LEVEL 3>; <ISCED 2011 LEVEL 3>; <ISCED 2011 LEVEL 4>; <ISCED 2011 LEVEL 5>; <ISCED 2011 LEVEL 6>; <ISCED 2011 LEVEL 7>; <ISCED 2011 LEVEL 8>; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g04a","Years of work exp. As a principal at this school","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g04b","Years of work exp. As a principal in total","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g04c","Years of work exp. In other school management roles","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g04d","Years of work exp. As a teacher in total","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g04e","Years of work exp. In other jobs","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g05","Current employment status as a principal","FULL-TIME (MORE THAN 90% OF FULL-TIME HOURS) WITHOUT TEACHING OBLIGATION; FULL-TIME (MORE THAN 90% OF FULL-TIME HOURS) WITH TEACHING OBLIGATION; PART-TIME (UP TO 90% OF FULL-TIME HOURS) WITHOUT TEACHING OBLIGATION; PART-TIME (UP TO 90% OF FULL-TIME HOURS) WITH TEACHING OBLIGATION; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g06a","Elements in form. educ. School administr. or principal training prg","BEFORE; AFTER; BEFORE AND AFTER; NEVER; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g06b","Elements in form. educ. Teacher training education programme or course","BEFORE; AFTER; BEFORE AND AFTER; NEVER; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g06c","Elements in form. educ. Instructional leadership training or course","BEFORE; AFTER; BEFORE AND AFTER; NEVER; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07a","Prof.dev. act. Courses about subject matter, teaching methods","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07b","Prof.dev. act. Courses seminars about leadership seminars about leadership","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07c","Prof.dev. act. Courses seminars attended in person seminars attended in person","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07d","Prof.dev. act. Online courses seminars seminars","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07e","Prof.dev. act. Education conferences - P","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07f","Prof.dev. act. Formal qualification programme - P","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07g","Prof.dev. act. Peer and or self-observation and coaching - P","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07h","Prof.dev. act. Participation in a network of principals","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07i","Prof.dev. act. Reading professional literature - P","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g07j","Prof.dev. act. Other","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08a","Areas prof.dev. Knowledge of new developments in leadership research and theory","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08b","Areas prof.dev. Knowledge of current national local policies on education","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08c","Areas prof.dev. Using data for improving the quality of the school","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08d","Areas prof.dev. Designing the school curriculum","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08e","Areas prof.dev. Designing professional development for with teachers","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08f","Areas prof.dev. Observing classroom instruction","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08g","Areas prof.dev. Providing effective feedback","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08h","Areas prof.dev. Promoting equity and diversity","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08i","Areas prof.dev. Developing collaboration among teachers","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08j","Areas prof.dev. Human resource management","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g08k","Areas prof.dev. Financial management","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09a","Barr.Prof.Dev. I do not have the pre-requisites","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09b","Barr.Prof.Dev. Professional development is too expensive","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09c","Barr.Prof.Dev. There is a lack of employer support","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09d","Barr.Prof.Dev. Professional development conflicts with my work schedule","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09e","Barr.Prof.Dev. I do not have time because of family responsibilities","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09f","Barr.Prof.Dev. There is no relevant professional development offered","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g09g","Barr.Prof.Dev. There are no incentives for participating in prof. developm.","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g10","School location description","[A VILLAGE, HAMLET OR RURAL AREA] (UP TO 3,000 PEOPLE); [SMALL TOWN] (3,001 TO 15,000 PEOPLE); [TOWN] (15,001 TO 100,000 PEOPLE); [CITY] (100,001 TO 1,000,000 PEOPLE); [LARGE CITY] (MORE THAN 1,000,000 PEOPLE); NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g11a","Perc. sch. tot. funding  Government","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g11b","Perc. sch. tot. fund. Student fees or school charges paid by parents or guard.","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g11c","Perc. sch. tot. funding Benefactors, donations, bequests, sponsorships fundrais.","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g11d","Perc. sch. tot. funding Other","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g12","Publicly- or privately-managed school","PUBLICLY-MANAGED THIS IS A SCHOOL MANAGED BY A PUBLIC EDUCATION AUTHORITY, GOVERNMENT AGENCY, MUNICIPALITY, OR GOVERNING; PRIVATELY-MANAGED THIS IS A SCHOOL MANAGED BY A NON-GOVERNMENT ORGANISATION; E.G. A [CHURCH,] TRADE UNION, BUSINESS OR O; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g13a","Number of staff for position Tchrs, irrespective of the grades/ages they teach","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g13b","Number of staff for position Perso for pedag support, irrespective grades/ages","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g13c","Number of staff for position School administrative personnel","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g13d","Number of staff for position School management personnel","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g13e","Number of staff for position Other staff","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g14a","Nu.staff cat Teachers who began work at this school during the last 12 months","0; 1-5; 6-10; 11-15; 16 OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g14b","Nu.staff cat Teachers who permanently left this school during the last 12 months","0; 1-5; 6-10; 11-15; 16 OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g14c","Nu.staff cat Teachers absent for most recent Tuesday that school was in session","0; 1-5; 6-10; 11-15; 16 OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15a1","ISCED levels and programmes taught  ISCED 2011 Level 0","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15a2","Competition ISCED levels  and or programmes  ISCED 2011 Level 0","TWO OR MORE OTHER SCHOOLS; ONE OTHER SCHOOL; NO OTHER SCHOOLS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15b1","ISCED levels and  programmes taught  ISCED 2011 Level 1","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15b2","Competition ISCED levels  and or programmes  ISCED 2011 Level 1","TWO OR MORE OTHER SCHOOLS; ONE OTHER SCHOOL; NO OTHER SCHOOLS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15c1","ISCED levels and  programmes taught  ISCED 2011 Level 2","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15c2","Competition ISCED levels  and or programmes  ISCED 2011 Level 2","TWO OR MORE OTHER SCHOOLS; ONE OTHER SCHOOL; NO OTHER SCHOOLS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15d1","ISCED levels and programmes taught  ISCED 2011 Level 3  general educ. prgs","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15d2","Competit. ISCED levels  and /programmes  ISCED 2011 Level 3  general educ. prgs","TWO OR MORE OTHER SCHOOLS; ONE OTHER SCHOOL; NO OTHER SCHOOLS; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
"tc3g15e1","ISCED Levels or programmes taught ISCED 2011 Level 3 voc/technical educ. prgs","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","School"
